Name,Age,Gender,Height,Weight
Eduardo,34,Female,154.77356283348317,65.40959594878004
Alejandro,72,Male,175.09077870318868,67.71691582543606
Gustavo,73,Male,184.72151535794515,69.43436307585084
Marcos,66,Male,167.2833431342786,67.40999627643211
Jorge,53,Female,180.71948252374528,88.49667898234189
Luciana,20,Female,168.64632227790082,78.91118118197696
Gabriela,35,Male,174.3897278047251,67.40077470974775
Daniel,79,Male,174.40544987517276,99.25533855454273
Gonzalo,35,Male,156.97306377798276,51.65642033937228
Martina,24,Female,190.8518248828354,61.34849834025222
Agustín,44,Male,174.16319667544008,50.84032522188359
Silvana,22,Male,174.98421257451335,73.80294629313435
Martina,29,Male,154.596571612654,73.32912451569628
Claudia,24,Female,165.74437374643756,88.04998289689287
Carlos,23,Male,187.9148622302614,69.5634077603246
Carla,32,Female,177.59816205547563,92.86561566992015
Javier,50,Male,163.89042723619391,88.67093760286542
Sofía,61,Female,174.6015160854719,95.18766519617841
María,45,Female,165.70166405037423,77.08757014836466
Ricardo,20,Male,171.19389558729517,54.87338149613637
Pedro,24,Female,172.67734593285218,63.09999089669141
Silvana,33,Female,182.5501148524333,80.61662116453643
Martín,69,Male,192.26218561242598,53.80046986691393
Ricardo,48,Male,195.14656772215366,55.54483148746532
Elizabeth,44,Male,174.63390791166532,74.1481011942927
Roberto,58,Female,158.19315905320377,86.72096879459446
Luis,40,Male,164.70727474827706,61.441358328821735
Patricia,23,Male,196.74678569850724,78.65554857417332
Eduardo,49,Female,186.38036537701885,59.083445550194995
Pedro,45,Male,151.47036036501305,83.8055009256442
Lorena,50,Female,183.02523118633061,90.57624321238946
Roberto,60,Male,175.85959617559104,97.01979417899099
Luciana,48,Female,176.79074044239778,53.89535120723388
Gabriel,70,Male,155.47063581259238,86.48838869840787
María,44,Female,185.7681599974427,80.72398373995135
Pablo,55,Male,165.11603566728115,76.9997835091469
Martín,54,Male,190.83671673304065,81.11478344744242
Natalia,23,Female,197.5644027242397,81.57675995416261
Mercedes,31,Female,167.90565683129455,90.52318652648208
Carlos,21,Female,179.16513960501038,79.84033189309154
Facundo,54,Female,184.5845238314889,50.86663237987548
Camila,46,Male,191.46940750024305,94.17953726788114
Sol,35,Male,157.98421824224954,86.65864662735079
Roberto,33,Female,172.83089136101714,58.199908475785826
Daniela,21,Male,176.92585257317668,96.3626643487172
Sol,44,Female,152.69020821330173,63.05284319266466
Santiago,78,Female,155.59074536116754,74.49777268285061
Agustín,70,Female,183.46038066446243,66.16812358380707
